rubric_id,scenario_id,competency,label_sr,label_en,description_sr,description_en,weight
serv-tech-r1,serv-tech,technical_knowledge,Tehničko znanje,Technical Knowledge,"Procenjuje znanje hidraulike, elektrike i osnova mašinstva relevantnih za servis.","Assesses hydraulic, electrical, and mechanical fundamentals relevant to servicing.",0.4
serv-tech-r2,serv-tech,initiative,Samostalnost i inicijativa,Self-reliance and Initiative,Pokazuje sposobnost donošenja odluka i napretka u poslu bez stalne podrške.,Demonstrates decision-making and progressing tasks without constant supervision.,0.25
serv-tech-r3,serv-tech,ethics,Etika i odgovornost,Ethics and Responsibility,"Daje prednost bezbednosti, kvalitetu rada i iskrenom prijavljivanju problema klijentu.","Prioritises safety, work quality, and honest reporting of issues to the client.",0.2
serv-tech-r4,serv-tech,continuous_learning,Kontinuirano učenje,Continuous Learning,"Aktivno traži znanje o novim mašinama, tehnikama i propisima.","Actively seeks knowledge about new machines, techniques, and regulations.",0.15
serv-comm-r1,serv-comm,client_focus,Usmerenost ka klijentu,Client Focus,Razume potrebe klijenta i prilagođava komunikaciju nivou tehničkog znanja sagovornika.,Understands the client's needs and tailors communication to their technical level.,0.35
serv-comm-r2,serv-comm,resilience,Otpornost i upravljanje stresom,Resilience and Stress Management,Ostaje smiren i jasan u situacijama pod pritiskom ili kada rešenje nije na dohvat ruke.,Stays calm and articulate under pressure or when no solution is immediately at hand.,0.25
serv-comm-r3,serv-comm,ethics,Etika i odgovornost,Ethics and Responsibility,Iskreno prijavljuje kašnjenja i odbija nebezbedne intervencije bez obzira na pritisak.,Honestly reports delays and refuses unsafe interventions regardless of pressure.,0.25
serv-comm-r4,serv-comm,authenticity,Autentičnost,Authenticity,"Govori iz iskustva, bez praznih fraza i bez glume znanja koje nema.","Speaks from real experience, avoids platitudes, and doesn't fake knowledge.",0.15
bm-general-r1,bm-general,brand_fundamentals,Brend osnove,Brand Fundamentals,Razume razliku između proizvoda i brenda i prepoznaje primere uspešne brend gradnje.,Understands the product-vs-brand distinction and identifies successful brand-building examples.,0.3
bm-general-r2,bm-general,continuous_learning,Kontinuirano učenje,Continuous Learning,"Aktuelno prati kanale, alate i trendove u digitalnom marketingu.","Keeps up with current channels, tools, and trends in digital marketing.",0.25
bm-general-r3,bm-general,adaptability,Prilagodljivost,Adaptability,Pokazuje fleksibilnost u pristupu lansiranju i merenju kampanja.,Shows flexibility in launch approach and campaign measurement.,0.25
bm-general-r4,bm-general,client_focus,Usmerenost ka klijentu,Client Focus,Razmatra ponašanje potrošača i potrebe tržišta pri donošenju marketing odluka.,Considers consumer behavior and market needs when making marketing decisions.,0.2
bm-behavioral-r1,bm-behavioral,adaptability,Prilagodljivost,Adaptability,"Reaguje konstruktivno kada se prioriteti, planovi ili stejkholderi menjaju.","Responds constructively when priorities, plans, or stakeholders shift.",0.3
bm-behavioral-r2,bm-behavioral,time_management,Upravljanje vremenom,Time Management,Prioritetizuje zadatke i jasno komunicira realan obim isporuke.,Prioritises tasks and clearly communicates a realistic delivery scope.,0.25
bm-behavioral-r3,bm-behavioral,authenticity,Autentičnost,Authenticity,"Daje konkretne primere iz iskustva, bez šablonskih odgovora.","Provides concrete examples from experience, without canned responses.",0.25
bm-behavioral-r4,bm-behavioral,resilience,Otpornost i upravljanje stresom,Resilience and Stress Management,Prepoznaje sopstvene granice i upravlja energijom u dugotrajnim projektima.,Recognises personal limits and manages energy through extended projects.,0.2
