question_id,scenario_id,order,question_sr,question_en,type,competency
serv-tech-q1,serv-tech,1,Opišite proces dijagnostikovanja kvara kada mašina za brizganje plastike ne radi — kojim redosledom postupate?,Describe how you'd diagnose a fault when a plastic injection machine isn't working — in what order do you proceed?,technical,technical_knowledge
serv-tech-q2,serv-tech,2,"Prepoznajte i objasnite glavne komponente hidrauličnog sistema (pumpe, ventili, motori, rezervoar).","Identify and explain the main components of a hydraulic system (pumps, valves, motors, reservoir).",technical,technical_knowledge
serv-tech-q3,serv-tech,3,"Skicirajte ili opišite jednostavnu električnu šemu sa izvorom napajanja, prekidačem i potrošačem (npr. sijalicom). Kojim redosledom je proveravate u slučaju kvara?","Sketch or describe a simple electrical schematic with a power source, switch, and consumer (e.g. a lightbulb). In what order would you check it during a fault?",technical,technical_knowledge
serv-tech-q4,serv-tech,4,"Stigli ste kod klijenta, mašina ne radi. Šta radite kao prvi korak?",You arrive at the client site and the machine isn't working. What's your first step?,situational,initiative
serv-tech-q5,serv-tech,5,Opišite slučaj kada ste sami doneli odluku o popravci bez podrške.,Describe a time you made a repair decision on your own without backup support.,behavioral,initiative
serv-comm-q1,serv-comm,1,"Niste sigurni u rešenje, podrška se ne javlja, klijent čeka — kako komunicirate odlaganje intervencije?","You're unsure of the fix, support isn't responding, the client is waiting — how do you communicate the delay?",situational,client_focus
serv-comm-q2,serv-comm,2,Klijent ima primedbu zbog kašnjenja rezervnog dela. Kako objašnjavate situaciju?,A client complains about a delayed spare part. How do you explain the situation?,situational,client_focus
serv-comm-q3,serv-comm,3,Opišite najtežu komunikaciju sa klijentom koju ste imali — šta biste uradili drugačije?,Describe the toughest customer interaction you've had — what would you do differently?,behavioral,resilience
serv-comm-q4,serv-comm,4,"Klijent insistira da odmah popravite, ali bezbedno ne možete bez delova. Kako reagujete?","A client insists you fix the machine immediately, but you can't safely do so without parts. How do you respond?",situational,ethics
serv-comm-q5,serv-comm,5,"Šta vas drži motivisanim u terenskom servisu, daleko od kuće, pod pritiskom?","What keeps you motivated in field service, working away from home and under pressure?",behavioral,authenticity
bm-general-q1,bm-general,1,Šta su za vas primeri dobrih brend praksi? Dajte konkretan primer i objasnite zašto smatrate da je uspešan.,What are examples of good brand practices in your view? Give a concrete example and explain why you think it's successful.,technical,brand_fundamentals
bm-general-q2,bm-general,2,Koja je razlika između brenda i proizvoda?,What's the difference between a brand and a product?,technical,brand_fundamentals
bm-general-q3,bm-general,3,Koji digitalni kanali su trenutno najefikasniji za izgradnju brenda u FMCG sektoru i zašto?,"Which digital channels are currently most effective for building a brand in the FMCG sector, and why?",technical,continuous_learning
bm-general-q4,bm-general,4,Kako biste pristupili lansiranju nove varijante postojećeg proizvoda — koji su prvi koraci?,How would you approach launching a new variant of an existing product — what are the first steps?,situational,adaptability
bm-general-q5,bm-general,5,"Kako merite šta funkcioniše u brend kampanji, a šta ne?",How do you measure what works in a brand campaign vs. what doesn't?,technical,client_focus
bm-behavioral-q1,bm-behavioral,1,Da li ste više timski ili individualni igrač? Dajte konkretan primer iz prakse.,Are you more of a team player or individual player? Give a concrete example.,behavioral,authenticity
bm-behavioral-q2,bm-behavioral,2,Opišite situaciju u kojoj se prioritet projekta promenio u toku rada. Kako ste se prilagodili?,Describe a situation where a project priority changed mid-execution. How did you adapt?,behavioral,adaptability
bm-behavioral-q3,bm-behavioral,3,Pričajte o vremenu kada se vaše mišljenje razlikovalo od menadžera ili kolega. Kako ste rešili razliku?,Tell us about a time your view differed from your manager's or a colleague's. How did you resolve it?,behavioral,authenticity
bm-behavioral-q4,bm-behavioral,4,Imate tri zadatka sa istim rokom i ne stižete sve. Kako odlučujete šta ide prvo?,You have three tasks with the same deadline and can't finish them all. How do you decide what comes first?,situational,time_management
bm-behavioral-q5,bm-behavioral,5,"Šta vas motivira u marketinškom poslu, a šta vas iscrpljuje?","What energises you about marketing work, and what drains you?",behavioral,resilience
